1,"eplusout (RUN PERIOD 1).eso"

"Date/Time","[1] Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area  (W/m2)"
,"ZN001:ROOF001"
"Year 1 Jan 21 11:00 AM","136.116788961163"
"Year 1 Jan 21 12:00 PM","150.41137638228"
"Year 1 Jan 21 1:00 PM","148.12284497285"
"Year 1 Jan 21 2:00 PM","142.321706262904"
"Year 1 Jan 21 3:00 PM","77.1725569007924"
"Year 1 Jan 21 4:00 PM","51.4684529005028"
"Year 1 Jan 21 5:00 PM","16.3536071650218"
"Year 1 Jan 21 6:00 PM","0"
"Year 1 Jan 21 7:00 PM","0"
"Year 1 Jan 21 8:00 PM","0"
"Year 1 Jan 21 9:00 PM","0"
"Year 1 Jan 21 10:00 PM","0"
"Year 1 Jan 21 11:00 PM","0"
"Year 1 Jan 22 12:00 AM","0"
"Year 1 Jan 22 1:00 AM","0"
"Year 1 Jan 22 2:00 AM","0"
"Year 1 Jan 22 3:00 AM","0"
"Year 1 Jan 22 4:00 AM","0"
"Year 1 Jan 22 5:00 AM","0"
"Year 1 Jan 22 6:00 AM","0"
"Year 1 Jan 22 7:00 AM","0"
"Year 1 Jan 22 8:00 AM","11.60154998784"
"Year 1 Jan 22 9:00 AM","52.0014079602795"
"Year 1 Jan 22 10:00 AM","115.070586674484"
"Year 1 Jan 22 11:00 AM","127.620671664547"
"Year 1 Jan 22 12:00 PM","108.339820545996"
"Year 1 Jan 22 1:00 PM","68.3369637267185"
"Year 1 Jan 22 2:00 PM","63.3515287213786"
"Year 1 Jan 22 3:00 PM","52.5686760747731"
"Year 1 Jan 22 4:00 PM","36.1713568644775"
"Year 1 Jan 22 5:00 PM","12.5021158289395"
"Year 1 Jan 22 6:00 PM","0"
"Year 1 Jan 22 7:00 PM","0"
"Year 1 Jan 22 8:00 PM","0"
"Year 1 Jan 22 9:00 PM","0"
"Year 1 Jan 22 10:00 PM","0"
"Year 1 Jan 22 11:00 PM","0"
"Year 1 Jan 23 12:00 AM","0"
"Year 1 Jan 23 1:00 AM","0"
"Year 1 Jan 23 2:00 AM","0"
"Year 1 Jan 23 3:00 AM","0"
"Year 1 Jan 23 4:00 AM","0"
"Year 1 Jan 23 5:00 AM","0"
"Year 1 Jan 23 6:00 AM","0"
"Year 1 Jan 23 7:00 AM","0"
"Year 1 Jan 23 8:00 AM","17.2464830861135"
"Year 1 Jan 23 9:00 AM","52.7346741957759"
"Year 1 Jan 23 10:00 AM","78.9528682422122"
"Year 1 Jan 23 11:00 AM","97.4123987407291"
"Year 1 Jan 23 12:00 PM","103.584464789487"
"Year 1 Jan 23 1:00 PM","102.887185383079"
"Year 1 Jan 23 2:00 PM","92.6588548568609"
"Year 1 Jan 23 3:00 PM","74.1257790194155"
"Year 1 Jan 23 4:00 PM","47.9467390796881"
"Year 1 Jan 23 5:00 PM","15.0077937020324"
"Year 1 Jan 23 6:00 PM","0"
"Year 1 Jan 23 7:00 PM","0"
"Year 1 Jan 23 8:00 PM","0"
"Year 1 Jan 23 9:00 PM","0"
"Year 1 Jan 23 10:00 PM","0"
"Year 1 Jan 23 11:00 PM","0"
"Year 1 Jan 24 12:00 AM","0"
"Year 1 Jan 24 1:00 AM","0"
"Year 1 Jan 24 2:00 AM","0"
"Year 1 Jan 24 3:00 AM","0"
"Year 1 Jan 24 4:00 AM","0"
"Year 1 Jan 24 5:00 AM","0"
"Year 1 Jan 24 6:00 AM","0"
"Year 1 Jan 24 7:00 AM","0"
"Year 1 Jan 24 8:00 AM","10.2893686867982"
"Year 1 Jan 24 9:00 AM","38.6739636616082"
